id,name,common_name,messier_id,caldwell_id,ra_deg,dec_deg,type,mag,size_arcmin,surface_brightness,tags
NGC4713,NGC4713,,,,192.491125,5.311417,galaxy,11.73,1.59,21.97,
NGC4725,NGC4725,,,,192.610750,25.500806,galaxy,9.38,8.41,23.39,
NGC4727,NGC4727,,,,192.738500,-14.332944,galaxy,12.22,2.12,23.10,
NGC4729,NGC4729,,,,192.942833,-41.132278,galaxy,12.48,1.44,23.85,
NGC4731,NGC4731,,,,192.754542,-6.393056,galaxy,11.42,4.23,23.72,
NGC4733,NGC4733,,,,192.778250,10.912083,galaxy,11.76,1.90,22.95,
NGC4736,NGC4736,,M94,,192.721083,41.120444,galaxy,8.24,7.21,21.79,messier
NGC4742,NGC4742,,,,192.950167,-10.454722,galaxy,11.20,1.77,22.61,
NGC4747,NGC4747,,,,192.941458,25.777083,galaxy,12.38,1.54,22.69,
NGC4750,NGC4750,,,,192.530292,72.874639,galaxy,12.10,2.23,22.45,
NGC4753,NGC4753,,,,193.092125,-1.199694,galaxy,9.66,4.78,23.31,
